"ID","Name","Source","diet","sex","strain"
"143783","ORSAM6254-1","JMUS3159","44% fat + fiber","male","C57BL/6J"
"143655","ORSAM6258-1","JMUS3151","10% fat + fiber","female","C57BL/6J"
"143758","ORSAM6259-1","JMUS3150","10% fat + fiber","female","C57BL/6J"
"143851","ORSAM6260-1","JMUS3149","10% fat + fiber","female","C57BL/6J"
"143536","ORSAM6264-1","JMUS3141","44% fat + fiber","female","C57BL/6J"
"143854","ORSAM6265-1","JMUS3140","44% fat + fiber","female","C57BL/6J"
"143704","ORSAM6266-1","JMUS3139","44% fat + fiber","female","C57BL/6J"
"143519","ORSAM6269-1","JMUS3130","10% fat + fiber","male","CAST/EiJ"
"143860","ORSAM6270-1","JMUS3129","10% fat + fiber","male","CAST/EiJ"
"143780","ORSAM6274-1","JMUS3121","44% fat + fiber","male","CAST/EiJ"
"143522","ORSAM6275-1","JMUS3120","44% fat + fiber","male","CAST/EiJ"
"143842","ORSAM6276-1","JMUS3119","44% fat + fiber","male","CAST/EiJ"
"143835","ORSAM6279-1","JMUS3110","10% fat + fiber","female","CAST/EiJ"
"143547","ORSAM6280-1","JMUS3109","10% fat + fiber","female","CAST/EiJ"
"143649","ORSAM6284-1","JMUS3101","44% fat + fiber","female","CAST/EiJ"
"143548","ORSAM6285-1","JMUS3100","44% fat + fiber","female","CAST/EiJ"
"143721","ORSAM6286-1","JMUS3099","44% fat + fiber","female","CAST/EiJ"
"143517","ORSAM6314-1","JMUS3071","44% fat + fiber","male","NZO/HlLtJ"
"143706","ORSAM6315-1","JMUS3070","44% fat + fiber","male","NZO/HlLtJ"
"143755","ORSAM6316-1","JMUS3069","10% fat + fiber","male","NZO/HlLtJ"
"143743","ORSAM6317-1","JMUS3068","10% fat + fiber","male","NZO/HlLtJ"
"143824","ORSAM6318-1","JMUS3067","44% fat + fiber","female","NZO/HlLtJ"
"143591","ORSAM6319-1","JMUS3066","44% fat + fiber","female","NZO/HlLtJ"
"143694","ORSAM6320-1","JMUS3065","44% fat + fiber","female","NZO/HlLtJ"
"143795","ORSAM6321-1","JMUS3064","10% fat + fiber","female","NZO/HlLtJ"
"143561","ORSAM6322-1","JMUS3063","10% fat + fiber","female","NZO/HlLtJ"
"143815","ORSAM6323-1","JMUS3062","44% fat + fiber","male","CAST/EiJ"
"143670","ORSAM6324-1","JMUS3061","44% fat + fiber","male","CAST/EiJ"
"143631","ORSAM6325-1","JMUS3060","10% fat + fiber","male","CAST/EiJ"
"143632","ORSAM6326-1","JMUS3059","10% fat + fiber","male","CAST/EiJ"
"143796","ORSAM6327-1","JMUS3058","44% fat + fiber","female","CAST/EiJ"
"143707","ORSAM6328-1","JMUS3057","44% fat + fiber","female","CAST/EiJ"
"143671","ORSAM6329-1","JMUS3056","44% fat + fiber","female","CAST/EiJ"
